raw|cosmetic
northeastern:drs:courses:hist7320|Academic Course - HIST7320
northeastern:drs:courses:frnh102|Academic Course - FRNH102
northeastern:drs:courses:larc2340|Academic Course - LARC2340
northeastern:drs:courses:ling4654|Academic Course - LING4654
northeastern:drs:courses:rms6260_sec01|Academic Course - RMS6260_SEC01
northeastern:drs:courses:socl_2450|Academic Course - SOCL_2450
northeastern:drs:damore_mckim:community_resources|D'Amore-McKim - Community Resources Project Team 
northeastern:drs:damore_mckim:marcom|D'Amore-McKim - Marketing Group
northeastern:drs:drspt:arader_gallery|Arader Picturing the World Gallery Project Team
northeastern:drs:enrollment_management:emc:emc_admin|EMSA - EMC Admin Staff
northeastern:drs:enrollment_management:emc:emc_staff|EMSA - EMC General Staff
northeastern:drs:enrollment_management:emsa|EMSA Staff
northeastern:drs:extended_reality:xr-staff|Extended Reality Project Team
northeastern:drs:facilities:archive_staff|Facilities Division - Archive Staff
northeastern:drs:faculty_senate:staff|Faculty Senate Staff
northeastern:drs:global_resilience_institute:gri_staff|Global Resilience Institute Staff
northeastern:drs:jdoaai:archive_staff|John D. O'Bryant African American Institute Archives Staff
northeastern:drs:library:3d_printing|University Library - 3D Printing Staff
northeastern:drs:library:admin|University Library - Administration Staff
northeastern:drs:library:advancement|University Library - Advancement Staff
northeastern:drs:library:archives|University Archives and Special Collections Staff
northeastern:drs:library:bite_sized_webinars_team|Bite Sized Webinars Project Team
northeastern:drs:library:boston_research_center|Boston Research Center
northeastern:drs:library:communications|University Library - Communications Office Staff
northeastern:drs:library:designfordiversity|University Library - Design for Diversity
northeastern:drs:library:digital_production_services|University Library - Digital Production Services
northeastern:drs:library:dmc_studios|University Library - Recording Studios Staff
northeastern:drs:library:dsg|University Library - Digital Scholarship Group Staff
northeastern:drs:library:dsg_students|University Library - Digital Scholarship Group Students
northeastern:drs:library:ideas|University Library - IDEAS Staff
northeastern:drs:library:library_all|University Library - All Staff
northeastern:drs:library:library_technology_services|University Library - LTS Staff
northeastern:drs:library:licensed_resources:l2|L2 Dataset Users
northeastern:drs:library:mills_college|Olin Library Staff
northeastern:drs:library:office_of_the_dean|University Library - Office of the Dean Staff
northeastern:drs:library:podcast_whatsnew|University Library - What's New Podcast Team
northeastern:drs:library:rads|University Library - RADS Staff
northeastern:drs:library:research_data_services|University Library - Research Data Services Staff
northeastern:drs:library:researchinstruction|University Library - Research and Instruction Staff
northeastern:drs:library:scholarly_communications|University Library - Scholarly Communications Staff
northeastern:drs:library:scholarly_resources|University Library - Scholarly Resources Staff
northeastern:drs:library:streaming_reserves|University Library - Streaming Reserves Team
northeastern:drs:library:teaching|University Library - Teaching
northeastern:drs:marketing_and_communications:staff|Office of Marketing and Communications - Photography Staff
northeastern:drs:marketing_and_communications:art_staff|Office of Marketing and Communications - Art Staff
northeastern:drs:marketing_and_communications:photo_archive_temp|Office of Marketing and Communications - Temporary Access
northeastern:drs:mills:mills_institute:mills_institute_media|The Mills Institute - Media Team
northeastern:drs:network_science_institute:social_design_lab_staff|Social Design Lab Staff
northeastern:drs:nupd:media|NUPD Media Group
northeastern:drs:nupd:staff|NUPD Staff
northeastern:drs:provost_office:center_research_innovation:center_for_research_innovation_staff|Center for Research Innovation Staff
northeastern:drs:provost_office:icils:icils_staff|CILS Staff
northeastern:drs:registrar|Office of the University Registrar Staff
northeastern:drs:repository:admin|DRS Advanced Users
northeastern:drs:repository:AWD|CSSH - Advanced Writing in the Disciplines
northeastern:drs:repository:beta_users|DRS Beta Users
northeastern:drs:repository:grouper_management|DRS Grouper Management Team
northeastern:drs:repository:loaders:aai_archives|DRS IPTC Loader - AAI
northeastern:drs:repository:loaders:bouve_dean|DRS IPTC Loader - Bouve
northeastern:drs:repository:loaders:camd|DRS IPTC Loader - CAMD
northeastern:drs:repository:loaders:coe|DRS IPTC Loader - COE
northeastern:drs:repository:loaders:cos_media|DRS IPTC Loader - COS
northeastern:drs:repository:loaders:cps|DRS IPTC Loader - CPS
northeastern:drs:repository:loaders:damore_mckim|DRS IPTC Loader - D'Amore-Mckim
northeastern:drs:repository:loaders:emsa_emc|DRS IPTC Loader - EMSA EMC
northeastern:drs:repository:loaders:libcom|DRS IPTC Loader - Library Communications Office
northeastern:drs:repository:loaders:marcom|DRS IPTC Loader - Marketing
northeastern:drs:repository:loaders:mills_institute|DRS IPTC Loader - Mills Institute
northeastern:drs:repository:loaders:ogl|DRS IPTC Loader - OGL
northeastern:drs:repository:loaders:multipage|DRS Multipage Loader
northeastern:drs:repository:loaders:spreadsheet|DRS Spreadsheet Loader
northeastern:drs:repository:loaders:wiot|DRS IPTC Loader - Institute for the Wireless Internet of Things
northeastern:drs:repository:loaders:xml|DRS XML Loader
northeastern:drs:repository:proxystaff|DRS Proxy Staff
northeastern:drs:repository:staff|DRS Repository Staff
northeastern:drs:repository:temp|DRS Temporary Access Group
northeastern:drs:sail:staff|SAIL Staff
northeastern:drs:school_of_law:crrj:staff|Civil Rights and Restorative Justice Project Team
northeastern:drs:school_of_law:crrj:temp_staff|Civil Rights and Restorative Justice Temporary Staff
northeastern:drs:school_of_law:dvi:dvi_legal_clinic|School of Law - DVI Legal Clinic
northeastern:drs:school_of_law:law_library:staff|School of Law - Law Library Staff
northeastern:drs:school_of_law:phrge|Program on Human Rights and the Global Economy Staff
northeastern:drs:spectrum:staff|Spectrum Literary Arts Magazine Staff
northeastern:drs:undergrad_research_office:staff|Office of Undergraduate Research and Fellowships Staff
northeastern:drs:all|Northeastern - All
northeastern:drs:faculty|Northeastern - Faculty
northeastern:drs:staff|Northeastern - Staff
